Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
JTDX,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows / macOS / Linux / Raspberry Pi,"DX/weak-signal-optimized WSJT-X fork for FT8, FT4, JT9, JT65, T10; tuned decoder, filters and call/CQ automation","Hamlib CAT rig control, sound-card audio in/out, PTT via CAT/RTS/DTR/VOX",Free / Open-source (GPLv3),By Igor UA3DJY and team; favored by contesters and extreme weak-signal DXers.
JTDX Improved,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows,Community fork of JTDX with additional decode/UI tweaks and mode support,"Same as JTDX — Hamlib CAT, sound-card audio, PTT keying",Free / Open-source (GPLv3),Appears in decode-comparison tests alongside WSJT-X and MSHV.
Linrad,Weak-signal digital (FT8/JT/WSPR),SDR / weak-signal DSP,Windows / Linux,"Software-defined-radio DSP receiver optimized for weak-signal work (EME, tropo), noise blanking, adaptive filtering; feeds MAP65",Drives/receives IQ from SDR front-ends and sound cards; provides receiver tuning/hardware control,Free / Open-source (GPL),By Leif SM5BSZ; classic weak-signal SDR paired with MAP65 for EME.
MAP65,Weak-signal digital (FT8/JT/WSPR),EME / weak-signal (wideband),Windows,Wideband adaptive-polarization decoder for JT65 and Q65 EME — decodes every signal in up to a ~90 kHz passband and builds a band map; combines orthogonal (H/V) antennas,Takes wideband IQ from SDR-style hardware (via Linrad/network); controls receiver tuning; RX-centric with WSJT-X for TX,Free / Open-source,"By K1JT; the standard 2 m/VHF EME wideband tool, typically run with Linrad."
MSHV,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows / Linux / Raspberry Pi,"Multimode weak-signal app: FT8, FT4, JT65, JT9, PI4 plus meteor-scatter/MS modes MSK144, MSKMS, JTMS, FSK441, FSK315, ISCAT, JT6M; Multi-Answering auto-sequence for DXpeditions","CAT rig control (Hamlib), sound-card audio in/out, PTT via CAT/serial/VOX",Freeware,By Christo LZ2HV; the go-to for multi-stream/Fox-style DXpedition and lightweight/portable setups.
pico_ft8_xcvr,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, embedded)",Raspberry Pi Pico (embedded microcontroller),Standalone real-time FT8 transceiver firmware running FT8 decode and transmit on a Pi Pico,On-board DSP generates/decodes FT8 audio and keys a small RF front-end — a self-contained FT8 radio,Free / Open-source,Fork by kholia of AA1GD's project; demonstrates FT8 on a microcontroller (akin to PixelFT8-style builds).
PropNetPSK,Weak-signal digital (FT8/JT/WSPR),Propagation beacon / PSK,Windows,Automated PSK propagation-beacon client that transmits and multi-decodes formatted beacons to report real-time HF propagation,"Sound-card audio in/out, CAT rig control, and PTT keying to transmit beacons",Free,"Client for the PropNET RF propagation-reporting network; actively keys the rig, so not a pure reporting tool."
QMAP,Weak-signal digital (FT8/JT/WSPR),EME / weak-signal (wideband),Windows,"Single-channel wideband receive-only decoder for all 30 s/60 s Q65 submodes, derived from MAP65","Wideband SDR IQ input; receive-only, cooperates with WSJT-X which handles CAT/TX",Free / Open-source,By K1JT; bundled with recent WSJT-X for EME Q65 operation.
ROS,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (legacy MFSK),Windows,"Weak-signal MFSK chat/beacon modes (ROS, ROS-EME/MF variants) for HF/VHF",Sound-card audio in/out for TX/RX and PTT keying via serial/VOX,Freeware,By José Alberto Nieto Ros EA5HVK; a legacy weak-signal digimode with a dedicated program.
rpitx,Weak-signal digital (FT8/JT/WSPR),Weak-signal / general TX (Pi GPIO transmitter),Raspberry Pi,Transmit FM/AM/SSB/SSTV/FSQ/POCSAG/WSPR/chirp directly from a Raspberry Pi GPIO pin,direct RF synthesis on GPIO18 (the Pi itself is the transmitter),Open-source,F5OEO; broader than the listed WsprryPi (which only does WSPR); needs filtering
rtlsdr-ft8d,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (FT8, SDR)",Linux / Raspberry Pi,Standalone FT8 receiver/decoder that captures directly from an RTL-SDR for VHF/UHF FT8 monitoring/reporting,Directly tunes and reads IQ from RTL-SDR hardware (RX only),Free / Open-source,By Guenael VA2GKA; companion to rtlsdr-wsprd (project noted as stalled but still in use).
rtlsdr-wsprd,Weak-signal digital (FT8/JT/WSPR),WSPR / beacon (SDR),Linux / Raspberry Pi,Lightweight daemon that receives and decodes WSPR directly from an RTL-SDR dongle and auto-reports spots to WSPRnet,Directly tunes and reads IQ from RTL-SDR hardware (no sound card needed),Free / Open-source,By Guenael VA2GKA; popular for cheap always-on WSPR receive beacons.
SDR++ Brown,Weak-signal digital (FT8/JT/WSPR),"SDR (weak-signal, FT8 decode)",Windows / Linux / Android,Feature-extended fork of SDR++ that adds an FT8/FT4 decoder and other DXpedition-oriented tools,"Directly controls SDR hardware (RTL-SDR, Airspy, HackRF, SDRplay, etc.) and decodes FT8 from IQ",Free / Open-source (GPLv3),By 'sannysanoff'; brings on-band FT8 decoding into the SDR++ waterfall.
SDR-Control for Icom,Weak-signal digital (FT8/JT/WSPR),Remote/network rig control + FT8,iOS / iPadOS,"Operate networked Icom SDR radios (IC-705/7300/7610/9700/7760 etc.) with waterfall, satellite mode and an integrated FT8/FT4 tool",Full network (LAN/Internet) CAT rig control and streamed radio audio to the Icom; FT8/FT4 handled internally — no cables/audio drivers,Commercial,By Marcus Roskosch DL8MRE; iPad version adds waterfall/satellite features. Multi-pass FT8 decoding.
SparkSDR,Weak-signal digital (FT8/JT/WSPR),"SDR (weak-signal, built-in FT8)",Windows / macOS / Linux / Linux ARM (Raspberry Pi),Cross-platform SDR transceiver app for HPSDR/Hermes-Lite 2/SDRplay with built-in FT8/FT4 decode on multiple virtual receivers (monitor/decode 4–11 frequencies at once),"Directly controls the SDR hardware (tuning, TX on Hermes-Lite) and decodes/encodes FT8 internally — no virtual audio or CAT cables needed",Freeware,Popular Hermes-Lite 2 companion; simultaneous multi-band FT8 without WSJT-X.
Spectran,Weak-signal digital (FT8/JT/WSPR),SDR / QRSS audio analyzer,Windows,Real-time audio spectrum/waterfall analyzer for weak-signal & QRSS reception,audio (sound card) from receiver,Free,Alberto di Bene I2PHD; direct forerunner of Argo (which is listed)
Spectrum Lab,Weak-signal digital (FT8/JT/WSPR),SDR / weak-signal audio DSP,Windows,"Highly configurable audio spectrum analyzer/DSP for QRSS, EME, WSPR calibration, EbNaut, DCF77",audio (sound card) in/out; optional CAT + PTT; frequency calibration,Free (donationware),Wolfgang Buescher DL4YHF; ubiquitous in weak-signal and QRSS work
weakmon,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (multi-mode, command-line)",Linux / macOS,"Python sound-card programs to receive and decode FT8, JT65 and WSPR (plus WWV utilities)",Sound-card audio input from an SSB/SDR receiver; optional Hamlib CAT for band control (RX-focused),Free / Open-source,By Robert Morris AB1HL; reference/experimental decoders.
WOLF / WOLF GUI,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (LF, legacy)",Windows,Weak-signal Operating on Ludicrously Low Frequencies — extremely-low-SNR coherent beacon/QSO mode with a GUI front-end,Sound-card audio in/out and PTT keying to an LF transmitter,Free / Open-source,Legacy LF experimental mode still referenced in weak-signal software catalogs.
WSJT (original),Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows / Linux,"The original WSJT program (2001+) for meteor scatter and EME: FSK441, JT6M, JT4, JT44, JT65","Sound-card audio in/out for TX/RX, PTT keying via serial/VOX, basic CAT",Free / Open-source (GPL),Legacy K1JT program still used for VHF meteor scatter/EME; predecessor to WSJT-X.
WSJT-X,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows / macOS / Linux / Raspberry Pi,"Flagship weak-signal suite implementing FT8, FT4, JT65, JT9, JT4, Q65, FST4, FST4W, MSK144 (meteor scatter), WSPR and Echo (EME); includes Fox/Hound and SuperFox DXpedition modes","CAT rig control via Hamlib (frequency/mode/split), sound-card audio in/out for TX/RX, PTT keying via CAT/RTS/DTR/VOX",Free / Open-source (GPLv3),By Joe Taylor K1JT and the WSJT Development Team; the reference implementation nearly every other FT8 program forks or interoperates with (UDP telemetry).
WSJT-X Improved,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows (source for Linux),"Fork of WSJT-X adding extra features: multi-decoder, extended logging, message/color enhancements, FT2 support","Same as WSJT-X — Hamlib CAT, sound-card audio, PTT via CAT/serial/VOX",Free / Open-source (GPLv3),Maintained by Uwe DG2YCB; popular among contesters/DXers for its improved decode counts.
WSJT-Z,Weak-signal digital (FT8/JT/WSPR),Weak-signal digital (FT8),Windows / Linux,"Automation-focused WSJT-X fork: Auto-CQ/Auto-Call, DXCC/prefix/state/continent/worked-before filters, band hopping, QRZ lookup, multi-threaded FT8 decoder (FT8/FT4/FT2/JT*/WSPR)","Hamlib CAT rig control, sound-card audio, PTT keying; can drive the transceiver fully automatically",Free / Open-source (GPLv3),By SQ9FVE; releases on GitHub/SourceForge. 'Robot' full-auto operation — user must monitor the rig.
WSPR (standalone),Weak-signal digital (FT8/JT/WSPR),WSPR / beacon,Windows / Linux,Original standalone WSPR program (v2.x) for Weak Signal Propagation Reporter beaconing and reception on LF–UHF,"CAT rig control for band scheduling, sound-card audio in/out, PTT keying; auto-uploads spots to WSPRnet",Free / Open-source (GPL),By K1JT; WSPR functionality later folded into WSJT-X but the standalone is still used.
WSPR-X,Weak-signal digital (FT8/JT/WSPR),WSPR / beacon,Windows / Linux,Experimental WSPR variant adding the slow WSPR-15 sub-mode for extreme weak-signal/LF propagation testing,"CAT rig control, sound-card audio, PTT keying; WSPRnet reporting",Free / Open-source (GPL),By K1JT; legacy experimental branch.
wsprd,Weak-signal digital (FT8/JT/WSPR),WSPR / beacon,Linux / macOS / Windows / Raspberry Pi,"Command-line WSPR decoder (the decode engine behind WSPR/WSJT-X), used in headless RX/reporting stations",Decodes a sound-card or SDR-provided audio/IQ stream from a receiver (RX side),Free / Open-source (GPL),Frequently scripted with SDR captures to build unattended WSPR monitors.
wsprdaemon (WD),Weak-signal digital (FT8/JT/WSPR),WSPR / beacon (SDR),Linux / Raspberry Pi,"Robust service decoding WSPR and all FST4W variants from one or many SDRs simultaneously and posting to WSPRnet, with extra noise/Doppler metrics","Controls and reads IQ from KiwiSDR, RX888, RTL-SDR and other SDRs (multi-band/multi-receiver RX)",Free / Open-source,By Rob Robinett AI6VN; the top WSPRnet spotters collectively report ~a third of daily spots via WD.
WsprryPi,Weak-signal digital (FT8/JT/WSPR),WSPR / beacon (TX),Raspberry Pi,"Turns a Raspberry Pi into a standalone WSPR transmitter, generating RF on a GPIO pin with NTP frequency calibration",The Pi IS the transmitter — synthesizes/keys the WSPR RF signal directly on GPIO (requires external low-pass filter),Free / Open-source (MIT for 2.x),2.x rewrite maintained by lbussy (orig. JamesP6000); classic no-radio-needed QRP beacon.
WSQCall / WSQ2,Weak-signal digital (FT8/JT/WSPR),"Weak-signal digital (LF/MF, legacy)",Windows,Weak Signal QSO keyboard mode for LF/MF (630 m/2200 m) real-time text at very low SNR,Sound-card audio in/out and PTT keying to the transceiver,Freeware,By Con Wassilieff ZL2AFP; niche low-band weak-signal chat.
AirMail,Winlink / HF email & data,Winlink/HF email client (legacy),Windows (95+),Long-running Winlink and maritime HF email client with terminal window and PACTOR support,CAT rig control + PTT keying; drives SCS PACTOR modems and sound-card modes,Free,Also the client used by the SailMail maritime service; predates Winlink Express.
Flarq,Winlink / HF email & data,NBEMS ARQ / email,Windows / macOS / Linux / Raspberry Pi,ARQ (automatic-repeat-request) file and email transfer engine,Uses fldigi as the on-air modem (sound-card + PTT),Open-source (GPL),Provides reliable point-to-point transfers over fldigi modes
ICOM Marine Radio Control Program,Winlink / HF email & data,Rig control (Winlink accessory),Windows,Simplifies control of Icom HF SSB marine radios for Winlink/PACTOR email operation,"CAT/CI-V serial rig control (frequency, mode) of Icom marine SSB sets",Free,Listed on the Winlink client-software page as an accessory for marine HF stations.
JNOS 2.0,Winlink / HF email & data,Packet TCP/IP + BBS / Winlink gateway,Linux / Windows,KA9Q-NOS derived TCP/IP-over-radio stack with packet BBS and Winlink gateway/forwarding,KISS/AX.25 TNC audio + PTT (sound modem or hardware TNC),Open-source,Long-standing EmComm/packet server platform.
LinBPQ / BPQ32,Winlink / HF email & data,Packet node / BBS / Winlink gateway,Linux & Raspberry Pi (LinBPQ) / Windows (BPQ32),"AX.25 NET/ROM node, packet BBS, chat server, RMS gateway and Winlink client suite","KISS/JKISS/hardware TNCs and sound modems; supports PACTOR, WINMOR, ARDOP and VARA data-over-radio; keys PTT",Free,By John Wiseman G8BPQ (cantab.net). Backbone of many RMS gateways and packet networks.
Outpost Packet Message Manager,Winlink / HF email & data,Packet / Winlink messaging,Windows,Emergency packet messaging client for BBS/Winlink store-and-forward traffic handling,Controls AX.25 packet TNCs / KISS soundmodem; PTT via TNC,Free,Widely used by ARES/RACES for packet message handling over VHF/UHF radios.
Paclink,Winlink / HF email & data,Winlink email gateway/client,Windows,Streamlined Winlink client with built-in POP3/SMTP server so any standard email program can send/receive over radio; single- or multi-user,Drives packet TNC / sound modem and HF modems for the radio link; PTT via TNC/CAT,Free (ARSFI),Lets you use Outlook/Thunderbird etc. as the Winlink front end.
Paclink-unix,Winlink / HF email & data,Winlink email gateway/client,"Linux / FreeBSD (x86, ARM)",UNIX/Linux Winlink client exposing POP/SMTP so local mail clients compose/read Winlink messages,"AX.25/KISS packet TNC, ARDOP and PACTOR modems; PTT via TNC/Hamlib",Open-source (GPL),github.com/nwdigitalradio/paclink-unix.
Pat,Winlink / HF email & data,Winlink/HF email client,Linux / macOS / Windows / BSD / Raspberry Pi (web GUI + CLI),Modern cross-platform Winlink client in Go with browser GUI and command line,"Rig control via Hamlib/rigctl (freq/PTT); connects to ARDOP and VARA HF/FM over TCP, AX.25/KISS for packet, telnet for internet",Open-source (MIT),getpat.io / github.com/la5nta/pat. Popular on Raspberry Pi gateways and headless stations.
PSKmail,Winlink / HF email & data,Keyboard/email over PSK,Linux / Windows,"Server/client for email, chat and position reporting over PSK, using fldigi as the on-air modem",Drives fldigi (sound-card audio + PTT) to key the radio,Open-source,ARQ email system built on the fldigi modem; overlaps with Winlink-style messaging
RadioMail,Winlink / HF email & data,Winlink/HF email client,iOS / iPadOS,"First native iOS Winlink client: telnet + over-the-air email, 100+ standard forms, GPS-prefilled forms, image optimization","Pairs with external modems (e.g. VARA over network, PACTOR) and controls the rig for HF/VHF Winlink sessions",Commercial (App Store),radiomail.app. Also supports maritime/HF email workflows.
