Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
SDRuno,SDR,native SDRplay RSP control; external-transceiver tracking via Omnirig,"Main panel > SETT... > ORIG tab: enable Omnirig and tick control-the-rig / control-the-SDR (Omnirig holds the rig model/COM/baud). A VRX can also be externally controlled from RX Control > SETT > CAT using a virtual serial-port pair (default COM10, ENABLE & CONNECT).",RX Control > SETT > OUT: pick the output device; route to a Virtual Audio Cable for digital apps,n/a - RSP is RX-only (PTT via the linked CAT rig if present),n/a,Omnirig for external-rig sync; Virtual Audio Cable for digital apps,SDRplay's Windows flagship (derived from Studio1),confirmed,SDRplay SDRuno User Manual,https://www.sdrplay.com/docs/HRDandSDRuno.pdf,"Confirmed: ORIG (Omnirig) tab for rig tracking, plus per-VRX CAT tab for being controlled; RSP is RX-only."
SigDigger,SDR,native SDR control via SoapySDR,n/a - device selected via the SoapySDR source dialog; not a CAT controller.,in-app audio-preview device; Virtual Audio Cable for further decoding,n/a - RX/analysis oriented,n/a,SoapySDR,Signal-analysis/inspection SDR tool,confirmed,BatchDrake/SigDigger documentation,https://github.com/BatchDrake/SigDigger,"Confirmed - SoapySDR analysis/receiver, no rig CAT."
SliceMaster,SDR,none of its own - drives FlexRadio slices via the SmartSDR API over Ethernet and auto-configures/launches third-party apps with the correct SmartSDR CAT (serial) + DAX (audio) devices,"In SliceMaster, per slice set the Launch behavior (Never / When active / By mode) and map the app; SliceMaster then automatically selects the rig type + CAT COM port + DAX audio devices for the launched app (SmartSDR CAT provides the virtual COM ports). Requires the slice's mode/DAX to be set correctly in SmartSDR.",uses SmartSDR DAX channels as the sound devices for the launched apps (assigned by SliceMaster),PTT to the Flex is via SmartSDR CAT/DAX - the launched app keys through CAT; MOX/PTT handled by SmartSDR,Set RF power in SmartSDR; drive DAX TX audio so SmartSDR's TX meter shows full rated power with no flat-topping (Flex has no classic ALC needle),needs SmartSDR + SmartSDR CAT + DAX running with a Flex 6000; launches WSJT-X/fldigi/CW Skimmer etc.,K1DBO's Slice Master 6000 orchestrator/launcher; not a modem or CAT engine itself,confirmed,Slice Master 6000 (K1DBO),https://github.com/K1DBO/slice-master-6000,Confirmed: SliceMaster auto-launches and auto-configures third-party apps with the right SmartSDR CAT + DAX per slice.
SmartSDR,SDR,"native control of FlexRadio 6000-series over Ethernet (local or SmartLink); slices, DAX audio and CAT serial provided for digital apps",SmartSDR CAT creates FlexVSP virtual serial-port pairs mapped to slices; other software picks that COM (as a Flex/Kenwood TS-2000-like model) at the shown baud.,DAX Control Panel assigns DAX RX/TX audio channels which appear as Windows sound devices for digital apps,Digital apps key via a SmartSDR CAT command or via DAX TX (VOX auto-keys MOX); no serial PTT line needed,"Set the RF Power slider in SmartSDR; raise DAX TX audio to reach full rated power without flat-topping - no analog ALC, so watch power + waveform",SmartSDR CAT + DAX helper apps; a Flex 6000 radio; SmartLink for remote,The FlexRadio control suite proper,confirmed,SmartSDR CAT Software User's Guide (FlexRadio),https://edge.flexradio.com/www/uploads/20200818184954/SmartSDR-CAT-User-Guide.pdf,Confirmed against the SmartSDR CAT User Guide: FlexVSP virtual COM ports (CAT) + DAX audio + CAT/DAX-VOX PTT.
SmartSDR (FlexRadio) + SmartSDR CAT / DAX / Maestro,SDR,"native Flex SDR control over Ethernet (control + I/Q + audio); SmartSDR CAT = virtual serial CAT ports, DAX = sound-card audio to loggers/digital apps, Maestro = hardware front panel, SmartLink = remote",In SmartSDR CAT create a FlexVSP port for the desired slice; point the logger/digital app at that COM (Flex/Kenwood-style model) and baud.,DAX Control Panel maps DAX RX/TX channels to Windows audio devices; select those in the digital app,App keys via a SmartSDR CAT command or DAX TX; MOX in SmartSDR,RF Power slider sets output; increase DAX TX audio to hit rated power cleanly (no analog ALC),the CAT + DAX helper apps; a Flex 6000; optional Maestro / SmartLink,Same suite with all component pieces named,confirmed,FlexRadio SmartSDR Software & CAT User Guides,https://edge.flexradio.com/www/uploads/20200818184951/SmartSDR-Software-User-Guide.pdf,"Confirmed - same Flex ecosystem as the SmartSDR entry, describing the CAT/DAX/Maestro/SmartLink pieces."
SmartSDR for Mac / iOS (dogpark software),SDR,"native Flex control over the network (TX/RX, slices, panadapter) - a third-party (dogpark) native Mac client for Flex 6000; SmartLink remote supported","Connects to the Flex over LAN/SmartLink; it has no serial CAT of its own. For digital apps on the Mac, use the xDAX and xCAT helper apps (DL3LSM) - xCAT bridges legacy CAT-over-TCP to native Flex commands and xDAX exposes DAX network audio.","uses network audio to/from the Flex; for external apps, xDAX exposes DAX audio devices (no separate desktop sound card)",PTT/MOX to the Flex over the network from the app UI (or via xCAT for digital apps),Set RF power in the app; Flex has no analog ALC - drive to rated power cleanly,a FlexRadio 6000; optional SmartLink for remote,"Independent Mac/iOS/iPadOS client, not FlexRadio's own software",confirmed,dogparkSDR (dogpark software),https://dogparksoftware.com/dogparkSDR.html,"Confirmed, refined: on the Mac the digital-mode CAT/audio bridges are xCAT/xDAX (by DL3LSM), not Windows 'SmartSDR CAT/DAX'; dogparkSDR itself is the GUI network client."
SoDiRa,SDR,"native front-end via ExtIO DLLs (RTL-SDR, SDRplay, Perseus, etc.) plus soundcard/USB IQ and SpyServer","Configuration > Receiver: select the ExtIO DLL (or soundcard/USB/SpyServer source), then HW Init + Start; not a CAT controller for external rigs.",Configuration audio settings; the 'used sound channel'/IQ-swap must be set correctly or DRM will not decode,n/a - receive only,n/a,the appropriate ExtIO DLL for your hardware,Windows RX for AM/FM+RDS/DRM/DRM+ and DCF77/HBG time signals,confirmed,SoDiRa (DL2SDR) documentation,,"Confirmed - ExtIO/soundcard DRM+SSB receiver, RX-only. No stable official URL cited."
SpectraVue,SDR,native control of RFSpace SDR-IQ/SDR-14/NetSDR/CloudIQ over USB/Ethernet; no external-rig CAT,Input Device selects the RFSpace unit (USB or network IP); tune/record/spectrum in-app.,soundcard output selection for demod audio; Virtual Audio Cable for decoders,n/a - receive only,n/a,RFSpace hardware,RFSpace's receiver/spectrum-analysis app,confirmed,Moetronix SpectraVue (RFSpace),http://www.moetronix.com/spectravue.htm,"Confirmed - RFSpace receiver app, RX-only."
Studio1,SDR,"native front-ends via ExtIO DLLs (RTL-SDR, Perseus, etc.)",Source-selection dialog picks the ExtIO DLL/hardware; not an external-rig CAT tool (some builds have limited Omnirig).,audio settings select the output; Virtual Audio Cable for decoders,n/a - receive only,n/a,ExtIO DLL for the hardware,SDR-Applications/WoodBoxRadio receiver (SDRuno derives from it),confirmed,Studio1 (SDR Applications / WoodBox Radio) user manual,,"Confirmed - ExtIO receiver, RX-only. No stable official URL cited (product largely discontinued)."
Thetis,SDR,native control of ANAN/Hermes-Lite (openHPSDR protocol) for RX/TX; exposes CAT (serial/TCP) and virtual audio to third-party apps (also TCI),"Setup > CAT Control > CAT tab: enable CAT and choose the virtual COM port + baud (or TCP), and set the PTT COM port with RTS + Enable PTT, so loggers/digital apps talk to Thetis as a Kenwood-style rig. TCI is an alternative for lower-latency control.",Setup > Audio (VAC1/VAC2/VAC3): route TX/RX audio to Virtual Audio Cables that the digital apps use,"Digital apps key via the CAT port (RTS), via VAC audio/VOX, or TCI; MOX in Thetis",Set Drive/TX level in Thetis; raise VAC TX audio so Drive reaches rated PA output without flat-topping (openHPSDR has no analog ALC needle - watch the TX display),Virtual Audio Cable (VAC) + a virtual serial pair (com0com) for CAT to digital apps,openHPSDR console for ANAN / Hermes-Lite 2,confirmed,ramdor/Thetis documentation (openHPSDR),https://github.com/ramdor/Thetis,Confirmed: Setup > CAT Control (COM/baud + RTS PTT) and Setup > Audio VAC1/2/3 verified; TCI is an additional option.
trunk-recorder,SDR,native control of multiple SDRs (RTL/Airspy/HackRF/BladeRF) via GNU Radio / SoapySDR; config-file driven,"n/a - no CAT. Edit config.json to define each SDR source (device, center freq, rate, gains) and the trunked systems/control channels.",n/a - decoded calls are written to files (and optionally uploaded); no sound-card playback device,n/a - receive only,n/a,GNU Radio/gr-osmosdr/SoapySDR; optional OpenMHz/Rdio Scanner upload,Headless multi-system trunk call recorder,confirmed,trunk-recorder documentation (robotastic),https://github.com/robotastic/trunk-recorder,"Confirmed - config.json-driven multi-SDR trunk recorder, RX-only."
Unitrunker,SDR,controls SDRs indirectly (steers SDR# via a control link) or commands hardware scanners over CAT serial to follow trunked control/voice channels,"Add a receiver ('+'), set type (e.g. 'inline'), role (control vs signal), model, COM port and attributes (e.g. 115200 8N1) for a CAT-controlled scanner; for SDR# it uses a plugin (AuxVFO/SerialController) + com0com virtual serial and writes control logs to steer SDR#.",uses Virtual Audio Cable(s) to pass SDR audio into Unitrunker for decoding and out to a speaker device,n/a - receive only,n/a,two SDRs (or a CAT scanner) + Virtual Audio Cable; SDR# for the SDR# link,Classic dual-receiver trunk tracker,confirmed,UniTrunker documentation / RadioReference wiki,http://www.unitrunker.com/,Confirmed: CAT-serial to scanners (115200 8N1) or SDR# steering via plugin + com0com; VAC for audio.
Universal Radio Hacker (URH),SDR,native SDR TX/RX via device backends (RTL/HackRF/USRP/LimeSDR/Airspy/SDRplay/PlutoSDR),"n/a - device + parameters (frequency, sample rate, gains) are set in the Send/Receive dialog; not a CAT tool.","n/a - works on raw IQ/samples, not sound-card audio",n/a - for TX it simply transmits via the SDR (no external key),On TX set the SDR's IF/TX gain to a sane level to avoid overdrive; no analog ALC,SDR device backend libraries,Protocol reverse-engineering / RF analysis tool,confirmed,jopohl/urh documentation,https://github.com/jopohl/urh,Confirmed - protocol-analysis SDR TX/RX tool; device configured in Send/Receive dialog.
Wavesink Plus,SDR,native RTL-SDR control over USB-OTG (Android) to receive DAB/DAB+,n/a - dongle via USB-OTG; not a CAT app.,n/a - decoded DAB audio plays on the device,n/a - receive only,n/a,USB OTG cable + RTL-SDR,Android DAB/DAB+ receiver,confirmed,Wavesink Plus documentation,,"Confirmed - Android DAB receiver over USB-OTG, RX-only. No stable official URL cited."
WebSDR,SDR,native control of the SDR/soundcard front-end on the server; streams tuned audio + waterfall to many browser users; no per-user rig CAT,"Server-side: websdr.cfg defines the receiver hardware and bands; browser clients just tune (RX-only), no external-rig CAT.",server config selects the sound-card/IQ input; browser users receive streamed audio,n/a - receive only,n/a,server hardware + Linux host; users need only a web browser,Multi-user web-based receiver server (PA3FWM),confirmed,WebSDR.org,http://www.websdr.org/,Confirmed - server-side receiver streaming to browsers; per-user clients are RX-only.
welle.io,SDR,native control of RTL-SDR/SDRplay/Airspy/SoapySDR devices over USB for DAB/DAB+,n/a - device selected in settings; not a CAT app.,settings audio output; decoded DAB audio to a sound device,n/a - receive only,n/a,SoapySDR / device drivers,Cross-platform DAB/DAB+ receiver,confirmed,welle.io project site,https://www.welle.io/,"Confirmed - DAB/DAB+ receiver, RX-only, no rig CAT."
Winrad,SDR,native soundcard IQ input + ExtIO hardware modules (the original ExtIO SDR host; HDSDR and others are derivatives),n/a - source is a soundcard or an ExtIO DLL selected in-app; no external-rig CAT of its own.,in-app IQ input and audio output device selection,n/a - receive only,n/a,ExtIO DLL for the hardware; Virtual Audio Cable for decoders,Alberto di Bene (I2PHD) original SDR program,confirmed,Winrad (I2PHD) documentation,,"Confirmed - the original ExtIO/soundcard receiver, RX-only. No stable official URL cited."
"WiNRADiO software (Excalibur, G3x/G6x)",SDR,"Native control of WiNRADiO SDR/DDC receivers (tuning, demod, recording). RX only.","Device is auto-detected. Not a CAT controller for third-party rigs; remote/networked control is via the optional Client/Server Option (CSO, over TCP/IP) and a developer API/DLL - not a CAT emulation.",Options select the audio output; a Virtual Audio Cable is used to feed decoders.,n/a - receivers (RX only).,n/a,WiNRADiO hardware,Vendor software for Excalibur / WR-G3xx / G6xx receivers,corrected,WiNRADiO software/options pages (Radixon),https://winradio.com/home/software.htm,"RX-only, native control, and 'not a third-party rig controller' are all correct. The phrase 'emulated CAT/remote interface' is imprecise: WiNRADiO's remote is the Client/Server Option (network) plus a developer API, not a CAT emulation exposed to third-party rig-control apps.; remote-control mechanism clarified"
Zeus Radio,SDR,Native control of ZS-1 hardware (TX/RX) and other front-ends; presents virtual CAT + virtual audio to external apps in Server Mode.,"Server Mode: set the CAT/Command manager to a virtual COM and PTT manager to another virtual COM, then start CAT; external apps (WSJT-X/fldigi) use those COM ports as a Kenwood-style rig.",Audio settings: select the Virtual Audio Cable line(s) for IQ/audio to/from external apps.,External app keys via the PTT-manager virtual COM (RTS) or a CAT PTT command; the ZS-1 then transmits.,Set TX drive/power in the ZS-1 software; raise external-app TX audio to rated output without overdriving (SDR has no analog ALC).,Virtual Audio Cable(s) + a virtual serial-port utility ('Add pair') to bridge CAT/PTT to digital apps,SSB-Electronic / HFR ZS-1 transceiver software,confirmed,SSB-Electronic ZS-1 (Zeus-1) Manual,https://www.ssb.de/shop/download/ZS-1_Manual_EN_V2.71.pdf,
AGWPE (SV2AGW Packet Engine),Software TNC / sound modem,"None (sound-card AX.25 modem, or drives a serial hardware TNC); no rig-frequency CAT.","Not a CAT app. Right-click tray icon > Properties > New Port; in TNC Setup pick SoundCard (or a serial TNC/COM), TNC type and the TX/PTT serial (COM/LPT) port.",In the sound-card port properties select the input/output sound device (and AFSK 1200/300).,PTT via a serial COM/LPT control line (RTS/DTR); VOX also possible.,"n/a - set the soundcard TX level for clean FM deviation / SSB drive, not ALC.",presents an AGWPE TCP (port 8000) + KISS TNC for APRS/Winlink/BBS/packet clients,SV2AGW Packet Engine (free version),confirmed,SV2AGW Packet Engine (AGWPE) documentation,https://www.sv2agw.com/Home/Packet,
AGWPE / AGW Packet Engine (Pro),Software TNC / sound modem,"None (sound-card AX.25 modem, or serial hardware TNC); no rig CAT. Pro is the paid build with the same config model.",Not a CAT app. Port setup: pick a SoundCard modem (or serial TNC/COM) and the PTT serial port.,Sound-card input/output device chosen in the radio-port properties.,PTT via serial COM RTS/DTR (or VOX).,"n/a - set clean AFSK TX audio/deviation, not ALC.","provides AX.25 packet (AGWPE TCP + KISS) to Winlink, APRS, BBS clients",Paid 'Pro' build with multi-port support,confirmed,SV2AGW Packet Engine Pro documentation,https://www.sv2agw.com/Home/Packet,
