Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
Ten-Tec,Triton II (520),HF transceiver,HF 80-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Triton II (520) 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Triton IV (540),HF transceiver,HF 80-10m,"No serial/CAT port (vintage HF transceiver). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually.,Front mic connector; rear accessory jack,Vintage Ten-Tec Triton IV (540) 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Ten-Tec,Triton IV Digital (544),HF transceiver,HF 80-10m,"No serial/CAT port (vintage HF transceiver with digital readout). Tune frequency by hand on the VFO. For SSB digital, feed audio through a sound-card interface into the mic/accessory jack; key with VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic/accessory jack (SignaLink alt),VOX or interface RTS/PTT via the mic/PTT line,None - analog rig; set frequency manually (digital readout only).,Front mic connector; rear accessory jack,Vintage Ten-Tec Triton IV Digital (544) 80-10m transceiver; no CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Tidradio,TD-777,UHF handheld,70cm,"No CAT rig control. Program channels with CHIRP via a Kenwood 2-pin (K1) USB programming cable. Set frequency by keypad/CHIRP. For digital, use a sound-card interface into the mic/speaker jack; PTT via VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,K1 2-pin USB programming cable + CHIRP; Digirig Mobile (K1) for digital-mode audio (SignaLink alt),VOX or mic PTT (interface RTS into mic jack),Program via CHIRP over the K1 cable; no rig-control protocol.,Kenwood 2-pin (K1) mic/speaker jack,"Budget UHF FM HT; no live CAT, programmed via CHIRP.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Tidradio,TD-825UV,VHF/UHF handheld,2m/70cm,"No CAT rig control. Program channels with CHIRP via the USB programming cable (K1 2-pin, or USB-C on newer variants). Set frequency by keypad/CHIRP. For digital, use a sound-card interface into the mic/speaker jack; PTT via VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,K1 2-pin USB programming cable + CHIRP; Digirig Mobile (K1) for digital-mode audio (SignaLink alt),VOX or mic PTT (interface RTS into mic jack),Program via CHIRP over the programming cable; no rig-control protocol.,Kenwood 2-pin (K1) mic/speaker jack (some variants USB-C),"2m/70cm FM HT; no live CAT, programmed via CHIRP.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Tidradio,TD-H3,VHF/UHF handheld,2m/70cm TX; 8-band RX,"No CAT rig control. Program with CHIRP over the built-in USB-C port (CH340) or the Odmaster Bluetooth app. Set frequency via keypad/CHIRP. For digital, use a sound-card interface into the K1 mic/speaker jack; PTT via VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,USB-C data cable + CHIRP for programming; Digirig Mobile (K1 2-pin) for digital-mode audio (SignaLink alt),VOX or mic PTT (interface RTS into mic jack),Program channels via CHIRP (USB-C) or the Odmaster Bluetooth app; no rig-control protocol.,USB-C side port (programming) + Kenwood 2-pin (K1) mic/speaker jack (audio),8-band-RX HT; supports CHIRP over USB-C and Bluetooth (Odmaster). No live CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Tidradio,TD-H3 GMRS,VHF/UHF handheld,GMRS/2m/70cm RX,"No CAT rig control. Program with CHIRP over the built-in USB-C port (CH340) or the Odmaster Bluetooth app (GMRS channels may be fixed by firmware). For digital, use a sound-card interface into the K1 mic/speaker jack; PTT via VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,USB-C data cable + CHIRP for programming; Digirig Mobile (K1 2-pin) for digital-mode audio (SignaLink alt),VOX or mic PTT (interface RTS into mic jack),Program via CHIRP (USB-C) or Odmaster Bluetooth; no rig-control protocol. GMRS variant channelization is firmware-set.,USB-C side port (programming) + Kenwood 2-pin (K1) mic/speaker jack (audio),GMRS variant of the TD-H3 (2m/70cm RX); supports CHIRP over USB-C and Bluetooth. No live CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Tidradio,TD-H8,VHF/UHF handheld,2m/70cm TX; 8-band RX,"No CAT rig control. Program with CHIRP over the built-in USB-C port (CH340) or the Odmaster Bluetooth app. Set frequency via keypad/CHIRP. For digital, use a sound-card interface into the K1 mic/speaker jack; PTT via VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,USB-C data cable + CHIRP for programming; Digirig Mobile (K1 2-pin) for digital-mode audio (SignaLink alt),VOX or mic PTT (interface RTS into mic jack),Program channels via CHIRP (USB-C) or the Odmaster Bluetooth app; no rig-control protocol.,USB-C side port (programming) + Kenwood 2-pin (K1) mic/speaker jack (audio),8-band-RX HT; supports CHIRP over USB-C and Bluetooth (Odmaster). No live CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Tidradio,TD-Q8,VHF/UHF handheld,2m/70cm,"No CAT rig control. Program channels with CHIRP via a Kenwood 2-pin (K1) USB programming cable. Set frequency by keypad/CHIRP. For digital, use a sound-card interface into the mic/speaker jack; PTT via VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,K1 2-pin USB programming cable + CHIRP; Digirig Mobile (K1) for digital-mode audio (SignaLink alt),VOX or mic PTT (interface RTS into mic jack),Program via CHIRP over the K1 cable; no rig-control protocol.,Kenwood 2-pin (K1) mic/speaker jack,"2m/70cm FM HT; no live CAT, programmed via CHIRP.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Tidradio,TD-UV5R,VHF/UHF handheld,2m/70cm,"No CAT rig control. Program channels with CHIRP via a Kenwood 2-pin (K1) USB programming cable (Baofeng UV-5R clone). Set frequency by keypad/CHIRP. For digital, use a sound-card interface into the mic/speaker jack; PTT via VOX.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,K1 2-pin USB programming cable + CHIRP; Digirig Mobile (K1) for digital-mode audio (SignaLink alt),VOX or mic PTT (interface RTS into mic jack),Program via CHIRP over the K1 cable (UV-5R driver); no rig-control protocol.,Kenwood 2-pin (K1) mic/speaker jack,"UV-5R-class 2m/70cm FM HT; no live CAT, programmed via CHIRP.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-2017,DMR handheld,2m/70cm,No CAT rig control. Program the DMR codeplug with TYT CPS (or DMRconfig/OpenGD77) over the USB programming cable. Channels/frequencies come from the codeplug. Analog-FM data can use a sound-card interface into the mic jack; PTT via VOX.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,TYT USB programming cable + TYT CPS (or DMRconfig); Digirig Mobile (Kenwood 2-pin) for analog digital-mode audio (SignaLink alt),VOX or PTT button (no CAT),"Build/load the codeplug in TYT CPS (DMR IDs, talkgroups, color codes, channels); no rig-control protocol.",Kenwood 2-pin (K1) programming/mic-speaker jack (USB cable),"Dual-band DMR HT; codeplug programming only, no CAT. MD-380 codeplug can be converted but not exported back.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-280,DMR handheld,UHF single-band,No CAT rig control. Program the DMR codeplug with TYT CPS over the USB programming cable. Channels/frequencies come from the codeplug. Analog-FM data can use a sound-card interface into the mic jack; PTT via VOX.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,TYT USB programming cable + TYT CPS; Digirig Mobile (Kenwood 2-pin) for analog digital-mode audio (SignaLink alt),VOX or PTT button (no CAT),Build/load the codeplug in TYT CPS; no rig-control protocol.,Kenwood 2-pin (K1) programming/mic-speaker jack (USB cable),"Single-band UHF DMR HT; codeplug programming only, no CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-380,DMR handheld,UHF 70cm (VHF version exists),No CAT rig control. Program the DMR codeplug with TYT CPS (or DMRconfig/OpenGD77) over the USB programming cable. Channels/frequencies come from the codeplug. Analog-FM data can use a sound-card interface into the mic jack; PTT via VOX.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,TYT USB programming cable + TYT CPS (or DMRconfig); Digirig Mobile (Kenwood 2-pin) for analog digital-mode audio (SignaLink alt),VOX or PTT button (no CAT),Build/load the codeplug in TYT CPS; no rig-control protocol. OpenGD77/MD380tools firmware available.,Kenwood 2-pin (K1) programming/mic-speaker jack (USB cable),"Single-band UHF 70cm DMR HT (VHF version exists); codeplug programming only, no CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-390,DMR handheld,UHF or VHF single-band,No CAT rig control. Program the DMR codeplug with TYT CPS (or DMRconfig) over the USB programming cable. Channels/frequencies come from the codeplug. Analog-FM data can use a sound-card interface into the mic jack; PTT via VOX.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,TYT USB programming cable + TYT CPS (or DMRconfig); Digirig Mobile (Kenwood 2-pin) for analog digital-mode audio (SignaLink alt),VOX or PTT button (no CAT),Build/load the codeplug in TYT CPS; no rig-control protocol.,Kenwood 2-pin (K1) programming/mic-speaker jack (USB cable),"Single-band UHF or VHF DMR HT (IP67/GPS variant); codeplug programming only, no CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-398,DMR handheld,UHF single-band,No CAT rig control. Program the DMR codeplug with TYT CPS over the USB programming cable. Channels/frequencies come from the codeplug. Analog-FM data can use a sound-card interface into the mic jack; PTT via VOX.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,TYT USB programming cable + TYT CPS; Digirig Mobile (Kenwood 2-pin) for analog digital-mode audio (SignaLink alt),VOX or PTT button (no CAT),Build/load the codeplug in TYT CPS; no rig-control protocol.,Kenwood 2-pin (K1) programming/mic-speaker jack (USB cable),"Single-band UHF DMR commercial HT; codeplug programming only, no CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-446,dPMR/DMR handheld,UHF (446 MHz PMR),No CAT rig control. Program the codeplug with TYT CPS over the USB programming cable. Channels/frequencies come from the codeplug. Analog-FM data can use a sound-card interface into the mic jack; PTT via VOX.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,TYT USB programming cable + TYT CPS; Digirig Mobile (Kenwood 2-pin) for analog digital-mode audio (SignaLink alt),VOX or PTT button (no CAT),Build/load the codeplug in TYT CPS; no rig-control protocol. PMR446 channelization is firmware/license-set.,Kenwood 2-pin (K1) programming/mic-speaker jack (USB cable),"UHF 446 MHz dPMR/DMR PMR HT; codeplug programming only, no CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-680 / MD-680D,DMR handheld,UHF single-band,No CAT rig control. Program the DMR codeplug with TYT CPS over the USB programming cable. Channels/frequencies come from the codeplug. Analog-FM data can use a sound-card interface into the mic jack; PTT via VOX.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,TYT USB programming cable + TYT CPS; Digirig Mobile (Kenwood 2-pin) for analog digital-mode audio (SignaLink alt),VOX or PTT button (no CAT),Build/load the codeplug in TYT CPS; no rig-control protocol.,Kenwood 2-pin (K1) programming/mic-speaker jack (USB cable),"Single-band UHF DMR HT (680/680D); codeplug programming only, no CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-750,DMR handheld,2m/70cm,USB programming cable to PC; program the codeplug with TYT CPS software. No live CAT/rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,TYT USB programming cable (codeplug); Digirig Mobile or SignaLink into mic/speaker jack only if you want analog sound-card modes,"VOX or interface RTS keying for analog digital modes (DMR itself is built-in, not sound-card)",None for CAT. Set channels/frequencies/color code/talkgroups in TYT CPS codeplug.,Kenwood 2-pin (K1) speaker/mic jack,"DMR handheld — no serial rig control. Frequency/channels set manually on radio or via CPS. FT8/SSTV only via outboard sound card + VOX, uncommon for this class.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-785 / MD-785G,DMR mobile,UHF or VHF single-band,USB programming cable to rear/front data port; program with TYT CPS software. No live CAT.,none,n/a,n/a,n/a,n/a,None,n/a,No,TYT USB programming cable (codeplug); Digirig/SignaLink at accessory jack for analog sound-card modes,VOX or interface RTS keying (analog); DMR is built-in,None for CAT. Configure channels/color code/talkgroups in TYT CPS.,Front accessory / programming jack,Single-band DMR mobile (G = GPS). No CAT rig control; set frequency manually or in CPS.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-9600,DMR mobile,2m/70cm,USB programming cable to PC; program the codeplug with TYT CPS software. No live CAT.,none,n/a,n/a,n/a,n/a,None,n/a,No,TYT USB programming cable (codeplug); Digirig/SignaLink at rear accessory jack for analog sound-card modes,VOX or interface RTS keying (analog); DMR is built-in,None for CAT. Set channels/color code/talkgroups in TYT CPS.,Rear DB accessory / programming port,Dual-band DMR mobile. No CAT; frequency set manually or via CPS.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
TYT (Tytera),MD-UV380,DMR handheld,2m/70cm,USB programming cable to PC; program the codeplug with TYT CPS software. No live CAT.,none,n/a,n/a,n/a,n/a,None,n/a,No,TYT USB programming cable (codeplug); Digirig/SignaLink into 2-pin jack for analog sound-card modes,VOX or interface RTS keying (analog); DMR is built-in,None for CAT. Set channels/color code/talkgroups in TYT CPS (OpenGD77 firmware also available).,Kenwood 2-pin (K1) speaker/mic jack,Dual-band DMR handheld. No serial rig control; frequency set manually or via CPS.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
